Etiqueta em uso,Link do produto,ID do produto,Titulo,Categoria,,Tecnologia
labdigital,https://mercadolivre.com/sec/2Muiqb6,2M0EFL-CNXR,Combo Teclado e Mouse sem fio Logitech MK220 ,tech,,
labdigital,https://mercadolivre.com/sec/1B3P3CL,2M0EFL-3JV6,Teclado Mecânico Aula F99 Bluetooth 5.0/2.4ghz Hot Swap,tech,,
labdigital,https://mercadolivre.com/sec/1vumSnb,2M0EFL-UL3H,Câmera Webcam Logitech C920e,tech,,
labdigital,https://mercadolivre.com/sec/1j6hEwU,2M0EFL-95B9,Mini Pc Intel Celeron 8gb 256gb Ssd Beelink ,tech,,
labdigital,https://mercadolivre.com/sec/2ucdZdS,2M0EFL-2S9D,Microfone Shure Sm7b Dinâmico,tech,,
labdigital,https://mercadolivre.com/sec/15WR6e1,2M0EFL-ZXTL,Microfone Audio-Technica AT2020,tech,,
labdigital,https://mercadolivre.com/sec/1AAXZ6z,2M0EFL-VKYU,Ssd M.2 2280 Nvme Kingston 1tb Nv3 Snv3s,tech,,
labdigital,https://mercadolivre.com/sec/16REHfn,2M0EFL-ZV1T,SSD m.2 2280 1TB Western Digital WD Green SN350 NVMe PCIe WDS100T3G0C,tech,,
labdigital,https://mercadolivre.com/sec/2w2DtcG,2M0EFL-0KHU,"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Cinza-espacial",tech,,
